essay_id,prompt_name,predicted,holistic_score,prompt_id,src
c2b3c97,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
9ab8619,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
25bd8c1,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
91ddfbb,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
827b2fb,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
089b9f0,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
9faa0a4,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
1e5bfd5,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
96e0a80,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
036e19b,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
bde4c47,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
7d62b53,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
1d1b2ad,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
6c7fc93,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
3bb8ecb,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
0ac3c47,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
2b85ea9,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
10d1d31,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
ee9a7bb,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
a7ec7ab,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
7979641,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
75e8016,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
2782b6f,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
66dbd71,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
13a8ba8,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
81f1656,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
c680658,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
ab74e1a,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
fe3d113,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
7090fb2,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
8c00849,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
cad0481,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b20a242,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
c44350f,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
1c18756,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
b9732f5,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
d90758e,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
204f925,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
649bc2d,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
457a644,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
9c50ac5,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
099fc28,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
353e838,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
2eddc0b,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
2f73d77,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
0fb8b19,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
1ca4609,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
b3912ed,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
904cc41,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
0338170,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
8885181,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
288c02f,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
2e312fd,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
71aaa97,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
d57e683,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
de54c1e,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
6b49ba5,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
f999185,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
62720f4,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
17d83e3,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
7d1bcdd,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
7677c38,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
3d73915,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
61424a0,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
c7423a9,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
03630c7,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
6ef1237,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
9b815d8,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
a20e756,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
fc95fdd,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
0f01ab8,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
9852c3d,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
ca5cb31,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
82a94a8,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
d9d5eaf,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
d106dee,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
5c57d50,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
202b78d,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
9d3da12,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
dc60914,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
b970805,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
d751233,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b763219,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
56aa173,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
eb2dd89,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
518c141,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
3443062,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b4bdae2,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
86f34ea,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
3e07ead,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
92b8c17,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
8e53897,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
c7e3380,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b5de127,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
bb09a77,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
4247306,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
c3bc0f7,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
d5ba91f,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
3f1cb8a,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
ac66230,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
bb1ec86,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
1944ada,"""A Cowboy Who Rode the Waves""",False,5,0,kaggle-persuade
9465a3e,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
db2d113,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
c2962e6,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
c45b6c0,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
e955a4d,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
c949ffe,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
79bd60c,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
471cd36,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
08139fb,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
aebd3a5,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
8049c2f,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
76e4447,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
2e3312c,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
7a2d72e,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
c36a91a,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
94f1fce,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
491d01e,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
174b49c,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
383af6e,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
b057e26,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
abe938a,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
f2427df,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
02a7530,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
bc91ba2,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
29851d7,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
fc70bb4,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
7035dc2,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
d93507a,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
dc84e92,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
7c8732f,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
845ae54,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
ffc11a8,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
ec10c42,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
f3d9d49,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
351b4e8,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
f275c1c,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
48b90fe,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
2187f01,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b6273ed,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
34bc6c6,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
3aea048,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
4cd668a,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
2a838f9,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
8869eff,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
d1792d3,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
65d28db,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
34ff174,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
6c309ce,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
1445aea,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
df2acd5,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
f88af91,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
4611da2,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
86a3a28,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
9a18591,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
a10dc66,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
1675f05,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
4313920,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
60c16c2,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
50677b9,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
4ec6e7e,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
5176bba,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
3e4ba35,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
2584fcb,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
37e497f,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
92101ff,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
4235b26,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
961718f,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
8aadd66,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
f1b6d21,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
fa2befc,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
4827309,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
1fdcd75,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
295ad90,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
9f32820,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
f710362,"""A Cowboy Who Rode the Waves""",False,4,0,kaggle-persuade
2d7e6e9,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
ad0e889,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
b116271,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
8121481,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
8a9d6ce,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
3865c55,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b2f1196,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
7b8a8d4,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
b9e2f51,"""A Cowboy Who Rode the Waves""",False,1,0,kaggle-persuade
0e2b2aa,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
f983854,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
f850485,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
8131b15,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
57d9535,"""A Cowboy Who Rode the Waves""",False,3,0,kaggle-persuade
10be9c6,"""A Cowboy Who Rode the Waves""",False,2,0,kaggle-persuade
