essay_id,prompt_name,predicted,holistic_score,prompt_id,src
03ca725,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
06730ad,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
074ba84,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
08a4c92,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
09d065f,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
0a31cd0,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
0bb5c8c,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
0d34dea,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
0d9d694,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
0f384b3,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
106ec05,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
11e9122,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
1216143,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
12b2994,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
160dc72,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
17031a2,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
1798e69,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
17d73bb,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
17e1148,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
183678c,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
1b5891f,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
1b5c960,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
1cc6247,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
1df4871,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
1fe666e,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
2062bda,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
213f930,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
2289b45,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
2312fc6,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
243124b,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
24694b6,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
2510330,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
256ce94,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
26c61e1,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
27e68cc,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
2841bdd,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
284d362,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
29399d5,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
297822d,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
297885d,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
29e4c71,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
2a14518,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
2bca925,"""A Cowboy Who Rode the Waves""",True,1,0,kaggle-only
2c3c7f9,"""A Cowboy Who Rode the Waves""",True,2,0,kaggle-only
2c6c2bf,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
2cc98cb,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
2e091c6,"""A Cowboy Who Rode the Waves""",True,4,0,kaggle-only
2eb5af4,"""A Cowboy Who Rode the Waves""",True,3,0,kaggle-only
